from_account,to_account,amount,device_id,ip_address,country,risk_score,timestamp
ACC0058,ACC0013,497.33,D095,36.183.199.238,Singapore,0.35,2025-10-08 07:57:44
ACC0045,ACC0217,196.45,D005,164.16.153.60,USA,0.2,2025-10-08 07:28:01
ACC0215,ACC0113,563.6,D058,204.216.50.188,UAE,0.4,2025-10-02 08:56:44
ACC0175,ACC0143,1914.85,D020,33.107.34.101,Canada,0.2,2025-09-28 13:18:05
ACC0136,ACC0023,1077.09,D094,106.30.151.85,India,0.25,2025-09-29 09:53:58
ACC0296,ACC0099,101.19,D091,84.30.228.69,UK,0.3,2025-09-16 18:14:21
ACC0195,ACC0143,333.68,D059,181.78.189.249,Cayman Islands,0.9,2025-09-15 07:45:14
ACC0088,ACC0274,335.17,D094,246.173.186.152,Canada,0.2,2025-09-22 12:26:03
ACC0167,ACC0029,1612.04,D030,26.64.243.251,USA,0.2,2025-10-09 09:22:36
ACC0162,ACC0109,797.31,D084,127.46.77.45,India,0.25,2025-09-23 19:54:21
ACC0288,ACC0276,862.58,D034,102.66.45.140,UAE,0.4,2025-10-05 19:33:06
ACC0047,ACC0025,1258.62,D015,118.162.26.108,Germany,0.25,2025-09-30 09:10:58
ACC0240,ACC0271,15810.83,D033,206.174.97.38,Panama,0.85,2025-09-26 02:30:59
ACC0223,ACC0081,1908.09,D059,77.138.205.55,USA,0.2,2025-10-06 12:03:22
ACC0055,ACC0153,1221.85,D082,205.51.148.254,France,0.3,2025-10-07 14:28:15
ACC0001,ACC0166,232.62,D063,222.216.88.71,USA,0.2,2025-09-14 16:03:06
ACC0124,ACC0291,1466.5,D011,204.146.206.42,UK,0.3,2025-09-18 02:09:03
ACC0244,ACC0282,1060.07,D022,64.247.148.203,Singapore,0.35,2025-09-21 14:55:19
ACC0160,ACC0205,881.82,D086,40.73.67.26,Cayman Islands,0.9,2025-09-28 06:27:44
ACC0011,ACC0284,448.23,D030,171.25.68.27,UAE,0.4,2025-09-13 09:09:46
ACC0170,ACC0037,564.17,D066,148.43.195.249,Canada,0.2,2025-10-09 13:52:39
ACC0296,ACC0243,1616.92,D032,34.178.120.100,India,0.25,2025-10-02 10:04:08
ACC0211,ACC0240,1350.0,D094,35.25.113.196,USA,0.2,2025-09-28 07:52:49
ACC0056,ACC0128,1077.21,D025,56.81.128.73,Canada,0.2,2025-09-15 12:23:38
ACC0227,ACC0282,1307.77,D013,13.33.247.202,USA,0.2,2025-09-23 07:57:58
ACC0086,ACC0209,435.36,D063,25.52.107.10,India,0.25,2025-09-30 19:26:18
ACC0136,ACC0233,1396.22,D037,210.152.179.193,Panama,0.85,2025-10-05 11:34:38
ACC0080,ACC0098,1937.73,D038,148.25.201.90,Canada,0.2,2025-09-14 15:09:59
ACC0026,ACC0300,1839.58,D062,24.255.140.30,France,0.3,2025-09-20 21:03:57
ACC0036,ACC0035,813.51,D087,155.73.158.162,Canada,0.2,2025-09-13 18:51:59
ACC0042,ACC0215,1134.8,D085,76.62.181.193,UAE,0.4,2025-09-27 02:36:53
ACC0123,ACC0136,1346.66,D051,90.247.202.249,Germany,0.25,2025-09-15 09:04:58
ACC0005,ACC0235,1992.23,D080,64.139.77.43,UAE,0.4,2025-09-28 19:11:20
ACC0036,ACC0126,323.92,D048,190.87.166.216,Singapore,0.35,2025-10-07 12:49:29
ACC0005,ACC0284,1878.47,D039,39.237.37.200,UK,0.3,2025-10-08 17:06:59
ACC0080,ACC0140,429.15,D037,185.172.228.77,UAE,0.4,2025-10-06 09:24:30
ACC0251,ACC0129,1272.23,D007,21.10.95.207,UK,0.3,2025-09-18 04:58:48
ACC0135,ACC0083,1107.84,D095,12.38.29.251,India,0.25,2025-09-19 02:13:29
ACC0280,ACC0019,1109.52,D048,20.88.103.240,UAE,0.4,2025-09-13 19:02:42
ACC0184,ACC0108,1337.2,D088,153.236.233.114,Canada,0.2,2025-09-19 08:37:54
ACC0122,ACC0084,59.32,D023,95.210.248.115,Panama,0.85,2025-09-23 21:41:59
ACC0137,ACC0082,12060.35,D090,219.245.127.99,Cayman Islands,0.9,2025-09-26 16:08:14
ACC0117,ACC0115,802.95,D004,27.207.81.99,Canada,0.2,2025-10-06 14:03:53
ACC0205,ACC0275,239.53,D043,55.158.77.19,USA,0.2,2025-09-17 02:51:44
ACC0223,ACC0177,878.42,D094,39.108.240.157,Cayman Islands,0.9,2025-09-21 02:01:19
ACC0131,ACC0023,13.37,D091,147.185.194.250,Panama,0.85,2025-09-21 10:07:36
ACC0187,ACC0221,1250.08,D009,41.194.240.86,Cayman Islands,0.9,2025-10-06 11:24:16
ACC0159,ACC0210,1397.44,D042,59.117.180.250,Panama,0.85,2025-09-30 06:18:01
ACC0090,ACC0292,9303.71,D039,211.158.165.177,Panama,0.85,2025-09-27 12:00:42
ACC0239,ACC0227,1027.24,D057,255.213.198.53,Canada,0.2,2025-09-15 23:21:29
ACC0146,ACC0264,677.02,D085,202.70.182.89,UAE,0.4,2025-09-22 18:17:22
